,customer_id,signup_date,true_lifetime_days
91,C00091,2025-09-13,195
92,C00092,2025-06-23,171
93,C00093,2025-02-17,106
94,C00094,2025-03-17,70
95,C00095,2025-04-16,365
96,C00096,2025-10-23,128
97,C00097,2025-11-05,199
98,C00098,2025-07-21,51
99,C00099,2025-05-16,137
100,C00100,2025-01-09,30
101,C00101,2025-03-10,142
102,C00102,2025-10-31,365
103,C00103,2025-10-16,111
104,C00104,2025-10-02,30
105,C00105,2025-05-01,30
106,C00106,2025-02-13,112
107,C00107,2025-08-26,56
108,C00108,2025-06-14,30
109,C00109,2025-05-03,226
110,C00110,2025-10-29,129
111,C00111,2025-04-20,87
112,C00112,2025-08-24,313
113,C00113,2025-07-25,44
114,C00114,2025-03-21,365
115,C00115,2025-11-28,93
116,C00116,2025-04-29,303
117,C00117,2025-03-23,170
118,C00118,2025-02-23,261
119,C00119,2025-05-10,365
120,C00120,2025-11-18,87
121,C00121,2025-10-22,365
122,C00122,2025-06-07,112
123,C00123,2025-10-01,111
124,C00124,2025-04-16,100
125,C00125,2025-04-06,152
126,C00126,2025-10-12,54
127,C00127,2025-08-29,155
128,C00128,2025-04-25,152
129,C00129,2025-04-16,229
130,C00130,2025-04-10,265
131,C00131,2025-07-13,125
132,C00132,2025-06-15,91
133,C00133,2025-11-04,80
134,C00134,2025-10-28,64
135,C00135,2025-11-20,30
136,C00136,2025-06-26,100
137,C00137,2025-01-10,83
138,C00138,2025-05-30,365
139,C00139,2025-04-04,157
140,C00140,2025-09-08,102
141,C00141,2025-02-22,163
142,C00142,2025-09-28,50
143,C00143,2025-06-16,126
144,C00144,2025-10-19,178
145,C00145,2025-10-02,137
146,C00146,2025-07-22,115
147,C00147,2025-02-22,365
148,C00148,2025-11-05,297
149,C00149,2025-08-17,177
150,C00150,2025-10-20,160
151,C00151,2025-02-20,176
152,C00152,2025-01-06,66
153,C00153,2025-07-28,113
154,C00154,2025-04-16,30
155,C00155,2025-05-27,134
156,C00156,2025-04-22,152
157,C00157,2025-02-23,73
158,C00158,2025-08-04,365
159,C00159,2025-08-09,322
160,C00160,2025-04-14,212
161,C00161,2025-03-19,150
162,C00162,2025-05-19,289
163,C00163,2025-07-19,48
164,C00164,2025-01-19,242
165,C00165,2025-06-21,46
166,C00166,2025-04-22,244
167,C00167,2025-01-30,84
168,C00168,2025-04-13,294
169,C00169,2025-06-14,364
170,C00170,2025-07-04,53
171,C00171,2025-01-22,131
172,C00172,2025-06-26,365
173,C00173,2025-08-29,136
174,C00174,2025-04-14,284
175,C00175,2025-06-06,166
176,C00176,2025-08-12,108
177,C00177,2025-01-19,87
178,C00178,2025-10-12,67
179,C00179,2025-03-10,228
180,C00180,2025-02-11,111
181,C00181,2025-08-12,144
182,C00182,2025-08-24,138
183,C00183,2025-08-12,162
184,C00184,2025-09-13,286
185,C00185,2025-05-30,365
186,C00186,2025-08-12,116
187,C00187,2025-12-01,262
188,C00188,2025-07-26,230
189,C00189,2025-04-27,161
190,C00190,2025-10-10,365
191,C00191,2025-04-23,66
192,C00192,2025-04-22,42
193,C00193,2025-07-30,278
194,C00194,2025-07-26,124
195,C00195,2025-10-11,273
196,C00196,2025-06-14,307
197,C00197,2025-04-29,30
198,C00198,2025-06-26,299
199,C00199,2025-05-19,127
200,C00200,2025-03-31,143
201,C00201,2025-01-13,178
202,C00202,2025-05-14,341
203,C00203,2025-06-02,30
204,C00204,2025-08-02,134
205,C00205,2025-03-23,199
206,C00206,2025-02-12,212
207,C00207,2025-02-26,200
208,C00208,2025-01-12,49
209,C00209,2025-08-27,90
210,C00210,2025-05-19,104
211,C00211,2025-04-07,249
212,C00212,2025-07-12,85
213,C00213,2025-08-28,68
214,C00214,2025-05-16,365
215,C00215,2025-08-01,30
216,C00216,2025-05-30,365
217,C00217,2025-01-11,195
218,C00218,2025-03-19,262
219,C00219,2025-07-08,89
220,C00220,2025-03-26,30
221,C00221,2025-07-09,218
222,C00222,2025-07-08,266
223,C00223,2025-05-18,219
224,C00224,2025-01-29,51
225,C00225,2025-07-28,225
226,C00226,2025-10-25,232
227,C00227,2025-07-27,188
228,C00228,2025-03-11,230
229,C00229,2025-07-05,273
230,C00230,2025-02-08,174
231,C00231,2025-08-26,36
232,C00232,2025-03-15,137
233,C00233,2025-03-26,33
234,C00234,2025-07-12,116
235,C00235,2025-08-13,116
236,C00236,2025-10-04,30
237,C00237,2025-12-01,102
238,C00238,2025-02-02,43
239,C00239,2025-03-24,251
240,C00240,2025-07-16,365
241,C00241,2025-10-27,32
242,C00242,2025-06-26,365
243,C00243,2025-11-24,147
244,C00244,2025-04-14,90
245,C00245,2025-08-26,33
246,C00246,2025-07-09,141
247,C00247,2025-02-02,244
248,C00248,2025-05-09,206
249,C00249,2025-07-25,30
250,C00250,2025-07-04,32
251,C00251,2025-10-10,115
252,C00252,2025-08-05,89
253,C00253,2025-06-25,74
254,C00254,2025-08-09,85
255,C00255,2025-09-19,248
256,C00256,2025-08-12,344
257,C00257,2025-08-21,116
258,C00258,2025-03-24,319
259,C00259,2025-04-20,95
260,C00260,2025-08-13,134
261,C00261,2025-08-26,72
262,C00262,2025-07-03,182
263,C00263,2025-05-23,365
264,C00264,2025-01-27,170
265,C00265,2025-06-23,104
266,C00266,2025-05-09,185
267,C00267,2025-06-17,46
268,C00268,2025-06-25,304
269,C00269,2025-09-26,141
270,C00270,2025-02-17,127
271,C00271,2025-03-01,165
272,C00272,2025-02-02,177
273,C00273,2025-07-21,31
274,C00274,2025-05-22,197
275,C00275,2025-07-28,76
276,C00276,2025-10-31,209
277,C00277,2025-06-10,259
278,C00278,2025-11-11,249
279,C00279,2025-04-09,155
280,C00280,2025-06-28,146
281,C00281,2025-10-26,51
282,C00282,2025-04-17,235
283,C00283,2025-10-13,83
284,C00284,2025-03-14,140
285,C00285,2025-02-23,86
286,C00286,2025-11-06,49
287,C00287,2025-04-21,179
288,C00288,2025-03-01,30
289,C00289,2025-02-20,223
290,C00290,2025-08-28,94
291,C00291,2025-02-22,30
292,C00292,2025-01-20,144
293,C00293,2025-02-02,30
294,C00294,2025-07-09,84
295,C00295,2025-11-29,206
296,C00296,2025-10-29,30
297,C00297,2025-05-25,269
298,C00298,2025-10-15,30
299,C00299,2025-11-16,77
300,C00300,2025-06-14,219
301,C00301,2025-04-27,94
302,C00302,2025-06-28,40
303,C00303,2025-10-18,105
304,C00304,2025-11-27,83
305,C00305,2025-08-26,271
306,C00306,2025-04-14,93
307,C00307,2025-10-27,241
308,C00308,2025-02-26,306
309,C00309,2025-02-04,123
310,C00310,2025-06-05,323
311,C00311,2025-08-30,109
312,C00312,2025-08-26,365
313,C00313,2025-05-29,37
314,C00314,2025-08-09,198
315,C00315,2025-05-26,139
316,C00316,2025-03-25,111
317,C00317,2025-06-25,180
318,C00318,2025-03-22,205
319,C00319,2025-01-14,30
320,C00320,2025-07-28,57
321,C00321,2025-11-15,208
322,C00322,2025-02-25,191
323,C00323,2025-04-24,365
324,C00324,2025-10-10,228
325,C00325,2025-10-06,365
326,C00326,2025-01-14,204
327,C00327,2025-06-12,90
328,C00328,2025-02-26,41
329,C00329,2025-08-11,238
330,C00330,2025-02-18,183
331,C00331,2025-07-05,30
332,C00332,2025-07-29,105
333,C00333,2025-07-01,365
334,C00334,2025-03-05,141
335,C00335,2025-08-21,123
336,C00336,2025-02-07,129
337,C00337,2025-04-01,68
338,C00338,2025-06-10,107
339,C00339,2025-10-25,107
340,C00340,2025-06-16,30
341,C00341,2025-03-31,231
342,C00342,2025-11-07,119
343,C00343,2025-01-31,259
344,C00344,2025-11-20,276
345,C00345,2025-01-21,69
346,C00346,2025-01-24,188
347,C00347,2025-10-28,133
348,C00348,2025-06-13,297
349,C00349,2025-11-13,70
350,C00350,2025-01-16,195
351,C00351,2025-03-14,172
352,C00352,2025-07-14,89
353,C00353,2025-07-13,50
354,C00354,2025-09-02,186
355,C00355,2025-01-15,218
356,C00356,2025-02-18,94
357,C00357,2025-05-02,184
358,C00358,2025-10-13,113
359,C00359,2025-07-03,208
360,C00360,2025-05-31,66
361,C00361,2025-10-01,305
362,C00362,2025-05-27,87
363,C00363,2025-07-31,107
364,C00364,2025-07-06,30
365,C00365,2025-01-23,43
366,C00366,2025-10-06,145
367,C00367,2025-02-01,82
368,C00368,2025-06-06,266
369,C00369,2025-06-16,30
370,C00370,2025-01-11,109
371,C00371,2025-03-07,99
372,C00372,2025-10-10,30
373,C00373,2025-08-24,46
374,C00374,2025-03-14,118
375,C00375,2025-10-11,139
376,C00376,2025-10-04,116
377,C00377,2025-08-17,149
378,C00378,2025-11-28,168
379,C00379,2025-08-22,30
380,C00380,2025-05-21,131
381,C00381,2025-03-16,365
382,C00382,2025-10-17,146
383,C00383,2025-01-26,195
384,C00384,2025-01-29,93
385,C00385,2025-07-12,234
386,C00386,2025-03-09,234
387,C00387,2025-08-01,146
388,C00388,2025-08-19,365
389,C00389,2025-06-28,47
390,C00390,2025-07-09,30
391,C00391,2025-07-11,232
392,C00392,2025-08-05,250
393,C00393,2025-01-18,45
394,C00394,2025-03-03,82
395,C00395,2025-09-02,30
396,C00396,2025-10-06,88
397,C00397,2025-04-18,234
398,C00398,2025-08-08,145
399,C00399,2025-01-19,102
400,C00400,2025-02-27,108
401,C00401,2025-07-29,30
402,C00402,2025-07-27,90
403,C00403,2025-10-06,184
404,C00404,2025-08-03,365
405,C00405,2025-12-02,273
406,C00406,2025-04-08,30
407,C00407,2025-02-16,312
408,C00408,2025-08-29,238
409,C00409,2025-07-30,237
410,C00410,2025-08-07,129
411,C00411,2025-10-16,114
412,C00412,2025-09-05,91
413,C00413,2025-04-10,30
414,C00414,2025-03-06,73
415,C00415,2025-05-28,77
416,C00416,2025-05-25,136
417,C00417,2025-09-25,222
418,C00418,2025-02-28,133
419,C00419,2025-03-31,30
420,C00420,2025-09-18,365
421,C00421,2025-07-02,362
422,C00422,2025-07-12,239
423,C00423,2025-09-08,365
424,C00424,2025-06-01,153
425,C00425,2025-02-21,365
426,C00426,2025-04-27,33
427,C00427,2025-09-25,106
428,C00428,2025-10-17,72
429,C00429,2025-08-31,65
430,C00430,2025-04-09,51
431,C00431,2025-05-13,176
432,C00432,2025-04-29,237
433,C00433,2025-10-25,163
434,C00434,2025-08-25,52
435,C00435,2025-02-17,253
436,C00436,2025-03-24,181
437,C00437,2025-04-25,112
438,C00438,2025-11-10,194
439,C00439,2025-03-28,80
440,C00440,2025-11-23,101
441,C00441,2025-04-01,331
442,C00442,2025-01-12,88
443,C00443,2025-08-25,132
444,C00444,2025-02-16,305
445,C00445,2025-06-06,206
446,C00446,2025-04-24,30
447,C00447,2025-03-28,52
448,C00448,2025-07-09,30
449,C00449,2025-08-29,179
450,C00450,2025-03-21,127
451,C00451,2025-01-12,49
452,C00452,2025-11-29,365
453,C00453,2025-11-17,149
454,C00454,2025-02-26,76
455,C00455,2025-03-31,141
456,C00456,2025-03-20,196
457,C00457,2025-06-26,33
458,C00458,2025-07-04,84
459,C00459,2025-06-08,250
460,C00460,2025-06-23,130
461,C00461,2025-10-31,153
462,C00462,2025-06-07,123
463,C00463,2025-08-24,30
464,C00464,2025-03-10,57
465,C00465,2025-01-14,126
466,C00466,2025-09-29,68
467,C00467,2025-06-18,30
468,C00468,2025-01-07,271
469,C00469,2025-10-21,365
470,C00470,2025-10-20,243
471,C00471,2025-02-21,278
472,C00472,2025-11-21,76
473,C00473,2025-08-30,365
474,C00474,2025-02-04,65
475,C00475,2025-03-25,365
476,C00476,2025-04-05,365
477,C00477,2025-10-29,208
478,C00478,2025-05-02,365
479,C00479,2025-09-04,160
480,C00480,2025-03-14,80
481,C00481,2025-09-01,124
482,C00482,2025-09-04,167
483,C00483,2025-08-10,32
484,C00484,2025-08-20,176
485,C00485,2025-05-21,365
486,C00486,2025-01-23,63
487,C00487,2025-08-11,243
488,C00488,2025-09-19,321
489,C00489,2025-04-30,364
490,C00490,2025-03-01,365
491,C00491,2025-03-29,146
492,C00492,2025-06-22,365
493,C00493,2025-05-25,226
494,C00494,2025-04-20,56
495,C00495,2025-06-09,134
496,C00496,2025-08-26,210
497,C00497,2025-10-28,77
498,C00498,2025-08-29,182
499,C00499,2025-07-04,191
500,C00500,2025-07-05,56
501,C00501,2025-05-27,159
502,C00502,2025-04-23,233
503,C00503,2025-10-27,140
504,C00504,2025-03-10,30
505,C00505,2025-06-03,30
506,C00506,2025-11-20,104
507,C00507,2025-02-27,340
508,C00508,2025-04-30,73
509,C00509,2025-02-20,180
510,C00510,2025-03-05,71
511,C00511,2025-10-02,95
512,C00512,2025-09-10,274
513,C00513,2025-04-30,214
514,C00514,2025-05-30,38
515,C00515,2025-11-14,122
516,C00516,2025-06-09,30
517,C00517,2025-08-25,135
518,C00518,2025-04-14,190
519,C00519,2025-09-18,45
520,C00520,2025-03-13,87
521,C00521,2025-02-22,114
522,C00522,2025-05-11,333
523,C00523,2025-04-24,365
524,C00524,2025-10-12,30
525,C00525,2025-07-12,228
526,C00526,2025-09-25,108
527,C00527,2025-08-26,113
528,C00528,2025-11-08,225
529,C00529,2025-10-11,332
530,C00530,2025-07-05,365
531,C00531,2025-07-12,162
532,C00532,2025-10-07,104
533,C00533,2025-10-25,240
534,C00534,2025-08-16,78
535,C00535,2025-06-05,159
536,C00536,2025-10-22,104
537,C00537,2025-05-31,188
538,C00538,2025-04-24,76
539,C00539,2025-08-03,64
540,C00540,2025-07-23,331
541,C00541,2025-06-23,40
542,C00542,2025-05-02,142
543,C00543,2025-04-26,71
544,C00544,2025-04-12,30
545,C00545,2025-01-06,30
546,C00546,2025-07-10,60
547,C00547,2025-04-08,287
548,C00548,2025-09-18,86
549,C00549,2025-11-24,365
550,C00550,2025-09-20,164
551,C00551,2025-03-25,124
552,C00552,2025-04-17,163
553,C00553,2025-11-26,145
554,C00554,2025-06-12,227
555,C00555,2025-07-15,86
556,C00556,2025-06-18,103
557,C00557,2025-06-16,308
558,C00558,2025-02-23,365
559,C00559,2025-08-03,307
560,C00560,2025-05-23,119
561,C00561,2025-11-28,237
562,C00562,2025-11-04,134
563,C00563,2025-06-21,140
564,C00564,2025-07-20,67
565,C00565,2025-01-16,167
566,C00566,2025-07-11,62
567,C00567,2025-01-10,98
568,C00568,2025-04-30,279
569,C00569,2025-02-05,67
570,C00570,2025-07-24,31
571,C00571,2025-02-14,31
572,C00572,2025-09-24,359
573,C00573,2025-03-26,142
574,C00574,2025-03-03,117
575,C00575,2025-06-04,252
576,C00576,2025-06-19,267
577,C00577,2025-09-03,98
578,C00578,2025-05-15,201
579,C00579,2025-11-14,233
580,C00580,2025-10-25,187
581,C00581,2025-07-30,54
582,C00582,2025-06-13,293
583,C00583,2025-07-15,151
584,C00584,2025-04-05,86
585,C00585,2025-04-27,121
586,C00586,2025-07-30,30
587,C00587,2025-10-06,47
588,C00588,2025-07-08,230
589,C00589,2025-01-20,30
590,C00590,2025-12-02,119
591,C00591,2025-05-27,147
592,C00592,2025-05-26,30
593,C00593,2025-01-25,365
594,C00594,2025-08-08,72
595,C00595,2025-07-22,91
596,C00596,2025-10-06,91
597,C00597,2025-10-20,73
598,C00598,2025-06-13,30
599,C00599,2025-06-26,215
600,C00600,2025-06-13,365
601,C00601,2025-01-20,72
602,C00602,2025-02-03,190
603,C00603,2025-07-07,220
604,C00604,2025-09-14,274
605,C00605,2025-05-04,120
606,C00606,2025-05-14,91
607,C00607,2025-03-26,96
608,C00608,2025-04-18,208
609,C00609,2025-06-22,256
610,C00610,2025-04-20,61
611,C00611,2025-07-09,107
612,C00612,2025-11-13,315
613,C00613,2025-10-17,250
614,C00614,2025-04-14,365
615,C00615,2025-02-01,225
616,C00616,2025-11-19,113
617,C00617,2025-07-13,166
618,C00618,2025-12-02,189
619,C00619,2025-10-10,33
620,C00620,2025-03-19,153
621,C00621,2025-07-12,207
622,C00622,2025-11-21,58
623,C00623,2025-01-07,237
624,C00624,2025-04-23,164
625,C00625,2025-03-06,365
626,C00626,2025-06-30,30
627,C00627,2025-11-25,82
628,C00628,2025-08-03,170
629,C00629,2025-06-22,89
630,C00630,2025-09-04,209
631,C00631,2025-07-20,227
632,C00632,2025-05-31,40
633,C00633,2025-01-21,144
634,C00634,2025-06-08,143
635,C00635,2025-11-05,107
636,C00636,2025-04-27,349
637,C00637,2025-10-23,262
638,C00638,2025-04-19,202
639,C00639,2025-05-25,209
640,C00640,2025-07-11,130
641,C00641,2025-05-16,334
642,C00642,2025-05-05,201
643,C00643,2025-04-27,215
644,C00644,2025-04-07,283
645,C00645,2025-10-18,84
646,C00646,2025-10-29,250
647,C00647,2025-03-25,65
648,C00648,2025-09-12,101
649,C00649,2025-03-22,99
650,C00650,2025-05-20,365
651,C00651,2025-02-03,280
652,C00652,2025-11-23,204
653,C00653,2025-01-25,214
654,C00654,2025-02-20,158
655,C00655,2025-04-05,365
656,C00656,2025-03-27,139
657,C00657,2025-11-28,110
658,C00658,2025-08-06,56
659,C00659,2025-02-17,240
660,C00660,2025-09-29,217
661,C00661,2025-07-10,111
662,C00662,2025-04-23,30
663,C00663,2025-04-08,268
664,C00664,2025-06-09,30
665,C00665,2025-03-11,205
666,C00666,2025-02-24,365
667,C00667,2025-10-01,124
668,C00668,2025-04-30,74
669,C00669,2025-01-22,205
670,C00670,2025-02-23,256
671,C00671,2025-06-09,153
672,C00672,2025-08-27,365
673,C00673,2025-08-20,30
674,C00674,2025-08-26,142
675,C00675,2025-01-26,210
676,C00676,2025-11-27,284
677,C00677,2025-05-20,61
678,C00678,2025-07-23,247
679,C00679,2025-03-19,155
680,C00680,2025-11-10,114
681,C00681,2025-10-11,48
682,C00682,2025-06-21,286
683,C00683,2025-05-15,55
684,C00684,2025-09-11,92
685,C00685,2025-07-11,88
686,C00686,2025-09-09,290
687,C00687,2025-09-16,193
688,C00688,2025-12-02,245
689,C00689,2025-10-13,78
690,C00690,2025-06-13,177
691,C00691,2025-05-12,161
692,C00692,2025-03-18,265
693,C00693,2025-02-18,319
694,C00694,2025-10-30,30
695,C00695,2025-08-30,194
696,C00696,2025-09-22,30
697,C00697,2025-10-25,154
698,C00698,2025-07-02,87
699,C00699,2025-03-28,92
700,C00700,2025-06-24,103
701,C00701,2025-08-07,176
702,C00702,2025-03-19,98
703,C00703,2025-01-31,216
704,C00704,2025-03-10,116
705,C00705,2025-10-10,30
706,C00706,2025-04-11,239
707,C00707,2025-04-25,87
708,C00708,2025-03-27,123
709,C00709,2025-01-24,198
710,C00710,2025-08-13,98
711,C00711,2025-03-23,30
712,C00712,2025-02-03,108
713,C00713,2025-05-10,365
714,C00714,2025-04-18,183
715,C00715,2025-09-28,193
716,C00716,2025-09-19,180
717,C00717,2025-08-22,65
718,C00718,2025-05-25,119
719,C00719,2025-03-26,224
720,C00720,2025-04-21,40
721,C00721,2025-02-12,85
722,C00722,2025-01-31,84
723,C00723,2025-08-27,123
724,C00724,2025-02-20,365
725,C00725,2025-01-02,30
726,C00726,2025-01-29,146
727,C00727,2025-03-29,61
728,C00728,2025-06-20,365
729,C00729,2025-01-02,43
730,C00730,2025-11-03,115
731,C00731,2025-03-31,218
732,C00732,2025-08-19,205
733,C00733,2025-10-13,120
734,C00734,2025-09-13,101
735,C00735,2025-07-23,114
736,C00736,2025-02-21,81
737,C00737,2025-07-18,67
738,C00738,2025-06-02,136
739,C00739,2025-01-07,82
740,C00740,2025-03-05,87
741,C00741,2025-09-25,188
742,C00742,2025-10-30,365
743,C00743,2025-03-16,170
744,C00744,2025-10-11,33
745,C00745,2025-05-12,33
746,C00746,2025-07-30,365
747,C00747,2025-04-12,89
748,C00748,2025-10-21,37
749,C00749,2025-04-07,169
750,C00750,2025-08-14,177
751,C00751,2025-03-29,185
752,C00752,2025-07-05,82
753,C00753,2025-06-03,30
754,C00754,2025-08-30,365
755,C00755,2025-11-25,78
756,C00756,2025-06-02,194
757,C00757,2025-02-25,206
758,C00758,2025-05-22,172
759,C00759,2025-05-22,93
760,C00760,2025-07-01,83
761,C00761,2025-09-01,169
762,C00762,2025-06-26,286
763,C00763,2025-10-03,365
764,C00764,2025-08-03,41
765,C00765,2025-10-13,54
766,C00766,2025-03-01,365
767,C00767,2025-11-28,218
768,C00768,2025-09-02,299
769,C00769,2025-06-16,66
770,C00770,2025-01-20,166
771,C00771,2025-11-11,204
772,C00772,2025-01-11,196
773,C00773,2025-12-02,117
774,C00774,2025-07-23,30
775,C00775,2025-04-14,164
776,C00776,2025-11-21,79
777,C00777,2025-10-18,127
778,C00778,2025-10-30,365
779,C00779,2025-09-16,114
780,C00780,2025-04-29,269
781,C00781,2025-02-05,63
782,C00782,2025-09-21,193
783,C00783,2025-02-24,365
784,C00784,2025-03-29,40
785,C00785,2025-10-17,30
786,C00786,2025-08-04,123
787,C00787,2025-05-03,38
788,C00788,2025-04-08,223
789,C00789,2025-10-08,327
790,C00790,2025-08-18,123
791,C00791,2025-01-18,80
792,C00792,2025-10-16,123
793,C00793,2025-10-03,212
794,C00794,2025-11-07,30
795,C00795,2025-02-14,166
796,C00796,2025-03-21,173
797,C00797,2025-11-25,181
798,C00798,2025-08-12,76
799,C00799,2025-03-25,209
800,C00800,2025-06-06,37
801,C00801,2025-05-10,66
802,C00802,2025-02-03,295
803,C00803,2025-07-29,219
804,C00804,2025-10-08,30
805,C00805,2025-05-03,78
806,C00806,2025-11-19,69
807,C00807,2025-11-05,83
808,C00808,2025-09-16,77
809,C00809,2025-05-01,30
810,C00810,2025-07-02,130
811,C00811,2025-11-19,216
812,C00812,2025-05-30,171
813,C00813,2025-01-25,193
814,C00814,2025-11-26,34
815,C00815,2025-11-30,365
816,C00816,2025-08-14,268
817,C00817,2025-04-09,249
818,C00818,2025-04-08,259
819,C00819,2025-03-04,348
820,C00820,2025-02-12,153
821,C00821,2025-04-20,66
822,C00822,2025-11-18,175
823,C00823,2025-05-25,220
824,C00824,2025-08-06,218
825,C00825,2025-11-05,146
826,C00826,2025-05-15,30
827,C00827,2025-10-25,107
828,C00828,2025-03-05,334
829,C00829,2025-04-16,165
830,C00830,2025-09-08,151
831,C00831,2025-07-30,83
832,C00832,2025-02-06,107
833,C00833,2025-11-08,309
834,C00834,2025-07-11,191
835,C00835,2025-11-20,240
836,C00836,2025-05-05,128
837,C00837,2025-11-08,179
838,C00838,2025-09-26,78
839,C00839,2025-09-27,205
840,C00840,2025-04-14,121
841,C00841,2025-08-16,125
842,C00842,2025-07-10,185
843,C00843,2025-08-14,353
844,C00844,2025-04-19,30
845,C00845,2025-08-14,260
846,C00846,2025-10-30,88
847,C00847,2025-08-14,126
848,C00848,2025-03-14,30
849,C00849,2025-04-11,90
850,C00850,2025-09-11,141
851,C00851,2025-10-22,30
852,C00852,2025-08-24,138
853,C00853,2025-11-27,341
854,C00854,2025-06-06,41
855,C00855,2025-02-24,230
856,C00856,2025-01-17,117
857,C00857,2025-04-21,187
858,C00858,2025-01-22,80
859,C00859,2025-04-18,56
860,C00860,2025-02-17,56
861,C00861,2025-07-06,31
862,C00862,2025-03-01,62
863,C00863,2025-05-19,190
864,C00864,2025-09-24,298
865,C00865,2025-08-13,254
866,C00866,2025-11-29,198
867,C00867,2025-01-06,43
868,C00868,2025-01-19,87
869,C00869,2025-08-30,92
870,C00870,2025-07-04,78
871,C00871,2025-01-26,145
872,C00872,2025-07-19,150
873,C00873,2025-03-31,104
874,C00874,2025-04-04,103
875,C00875,2025-11-02,262
876,C00876,2025-10-24,241
877,C00877,2025-04-18,92
878,C00878,2025-10-28,327
879,C00879,2025-04-24,365
880,C00880,2025-11-27,97
881,C00881,2025-01-15,103
882,C00882,2025-04-27,142
883,C00883,2025-09-19,360
884,C00884,2025-11-29,294
885,C00885,2025-01-02,40
886,C00886,2025-07-22,113
887,C00887,2025-08-07,155
888,C00888,2025-08-31,141
889,C00889,2025-10-02,64
890,C00890,2025-05-23,281
891,C00891,2025-01-02,195
892,C00892,2025-05-14,268
893,C00893,2025-11-07,281
894,C00894,2025-06-13,223
895,C00895,2025-02-06,124
896,C00896,2025-07-23,173
897,C00897,2025-01-11,56
898,C00898,2025-08-07,194
899,C00899,2025-01-13,61
900,C00900,2025-03-03,201
901,C00901,2025-05-05,73
902,C00902,2025-04-22,45
903,C00903,2025-11-13,57
904,C00904,2025-08-12,30
905,C00905,2025-07-16,210
906,C00906,2025-10-17,216
907,C00907,2025-12-02,145
908,C00908,2025-09-04,56
909,C00909,2025-07-14,35
910,C00910,2025-01-17,30
911,C00911,2025-10-26,57
912,C00912,2025-02-13,305
913,C00913,2025-07-17,76
914,C00914,2025-01-04,103
915,C00915,2025-03-19,41
916,C00916,2025-06-25,71
917,C00917,2025-06-08,146
918,C00918,2025-11-23,172
919,C00919,2025-03-17,77
920,C00920,2025-07-18,30
921,C00921,2025-06-14,112
922,C00922,2025-11-20,74
923,C00923,2025-06-18,71
924,C00924,2025-07-26,365
925,C00925,2025-09-10,174
926,C00926,2025-01-16,156
927,C00927,2025-01-18,118
928,C00928,2025-08-24,122
929,C00929,2025-01-08,152
